,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
1278,2018-2019,Alexandria City,T.C. Williams High,4.0,M,N,Y,Y,95,53.68421052631579,29.473684210526315
1279,2018-2019,Alexandria City,T.C. Williams High,5.0,M,N,Y,Y,9,88.88888888888889,11.11111111111111
1283,2018-2019,Alexandria City,T.C. Williams High,2.0,F,Y,Y,Y,1,100.0,0.0
1285,2018-2019,Alexandria City,T.C. Williams High,4.0,F,Y,Y,Y,5,100.0,0.0
1291,2018-2019,Alexandria City,T.C. Williams High,3.0,M,Y,Y,Y,4,100.0,0.0
1292,2018-2019,Alexandria City,T.C. Williams High,4.0,M,Y,Y,Y,19,100.0,0.0
1188,2018-2019,Alleghany County,Alleghany High,5.0,F,N,N,N,52,98.07692307692308,1.9230769230769231
1195,2018-2019,Alleghany County,Alleghany High,5.0,M,N,N,N,48,100.0,0.0
1202,2018-2019,Alleghany County,Alleghany High,5.0,F,Y,N,N,1,100.0,0.0
1209,2018-2019,Alleghany County,Alleghany High,5.0,M,Y,N,N,4,100.0,0.0
1244,2018-2019,Alleghany County,Alleghany High,5.0,F,N,N,Y,28,82.14285714285714,3.5714285714285716
1251,2018-2019,Alleghany County,Alleghany High,5.0,M,N,N,Y,29,89.65517241379311,6.896551724137931
1258,2018-2019,Alleghany County,Alleghany High,5.0,F,Y,N,Y,1,100.0,0.0
1265,2018-2019,Alleghany County,Alleghany High,5.0,M,Y,N,Y,7,85.71428571428571,14.285714285714286
1186,2018-2019,Amelia County,Amelia County High,3.0,F,N,N,N,9,100.0,0.0
1188,2018-2019,Amelia County,Amelia County High,5.0,F,N,N,N,28,89.28571428571429,10.714285714285714
1193,2018-2019,Amelia County,Amelia County High,3.0,M,N,N,N,6,100.0,0.0
1195,2018-2019,Amelia County,Amelia County High,5.0,M,N,N,N,35,97.14285714285714,2.857142857142857
1209,2018-2019,Amelia County,Amelia County High,5.0,M,Y,N,N,4,100.0,0.0
1242,2018-2019,Amelia County,Amelia County High,3.0,F,N,N,Y,8,100.0,0.0
